127.0.0.1 - - [01/Oct/2019:09:19:56 +0900] "GET / HTTP/1.1" 404 1074
192.168.0.1 - - [01/Oct/2019:09:21:23 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:24 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:33 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:33 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:39 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:40 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:42 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:42 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:43 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:44 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:44 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:21:48 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:28:41 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:28:51 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:28:57 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num03&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:29:09 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:29:13 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:29:18 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:09:39:16 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:10:05:15 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:10:05:17 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:10:05:26 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:10:05:36 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:10:05:46 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.1 - - [01/Oct/2019:10:19:18 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
